node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.999996,33,33,0
2,0.999999,36,36,0
3,0.755,2,2,0
4,0.999805,22,22,0
5,0.999998,35,35,0
6,0.996609,14,14,0
7,0.755,2,2,0
8,0.999999,36,36,0
9,0.971176,8,8,0
10,0.65,1,1,0
11,0.5,0,0,0
12,0.5,0,0,0
13,0.999601,20,20,0
14,0.999999,38,38,0
15,1,116,116,0
16,0.993079,12,12,0
17,1,88,88,0
18,0.5,0,0,0
19,0.993079,12,12,0
20,0.5,0,0,0
21,0.5,0,0,0
22,1,46,46,0
23,0.87995,4,4,0
24,0.5,0,0,0
25,0.990113,11,11,0
26,0.5,0,0,0
27,0.915965,5,5,0
28,0.999967,27,27,0
29,0.5,0,0,0
30,0.5,0,0,0
31,0.5,0,0,0
32,0.5,0,0,0
33,0.998837,17,17,0
34,0.997626,15,15,0
35,0.8285,3,3,0
36,0.999953,26,26,0
37,0.999953,26,26,0
38,0.999953,26,26,0
39,0.999186,18,18,0
40,0.5,0,0,0
41,0.5,0,0,0
42,0.99943,19,19,0
43,0.87995,4,4,0
44,0.999998,35,35,0
45,0.5,0,0,0
46,0.941176,6,6,0
47,0.755,2,2,0
48,0.999953,26,26,0
49,0.5,0,0,0
50,0.5,0,0,0
51,0.5,0,0,0
52,0.971176,8,8,0
53,0.999805,22,22,0
54,0.5,0,0,0
55,1,61,61,0
56,1,54,54,0
57,0.941176,6,6,0
58,0.999998,35,35,0
59,0.915965,5,5,0
60,0.5,0,0,0
61,0.999721,21,21,0
62,0.5,0,0,0
63,1,85,85,0
64,0.5,0,0,0
65,0.941176,6,6,0
66,0.8285,3,3,0
67,0.999904,24,24,0
68,0.5,0,0,0
69,0.5,0,0,0
70,0.5,0,0,0
71,0.5,0,0,0
72,0.995156,13,13,0
73,0.985876,10,10,0
74,0.5,0,0,0
75,1,45,45,0
76,0.8285,3,3,0
77,0.5,0,0,0
78,0.999996,33,33,0
79,0.5,0,0,0
80,0.990113,11,11,0
81,0.999998,35,35,0
82,0.5,0,0,0
83,0.996609,14,14,0
84,0.5,0,0,0
85,0.5,0,0,0
86,0.5,0,0,0
87,0.5,0,0,0
88,0.915965,5,5,0
89,0.755,2,2,0
90,0.990113,11,11,0
91,0.65,1,1,0
92,0.993079,12,12,0
93,0.971176,8,8,0
94,0.65,1,1,0
95,1,212,212,0
96,0.915965,5,5,0
97,1,55,55,0
98,0.985876,10,10,0
99,0.5,0,0,0
