time,node_id,residual_energy
340,90,9862.75
340,91,9860.63
340,92,9865.74
340,93,9857.34
340,94,9891.27
340,95,9885.58
340,96,9852.15
340,97,9879.48
340,98,9869.91
340,99,9872.58
350,0,9892.57
350,1,9865.91
350,2,9902.68
350,3,9874.96
350,4,9877.91
350,5,9878.72
350,6,9873.08
350,7,9867.91
350,8,9873.69
350,9,9874.13
350,10,9867.73
350,11,9875.09
350,12,9842.58
350,13,9894.2
350,14,9858.96
350,15,9866.03
350,16,9884.97
350,17,9898.34
350,18,9858.69
350,19,9863.26
350,20,9879.07
350,21,9877.8
350,22,9884.98
350,23,9888.59
350,24,9878.1
350,25,9855.54
350,26,9858.62
350,27,9864.77
350,28,9895.1
350,29,9861.97
350,30,9848.8
350,31,9855.47
350,32,9856.79
350,33,9877.58
350,34,9864.93
350,35,9881.5
350,36,9874.2
350,37,9867.23
350,38,9884.04
350,39,9884.91
350,40,9858.69
350,41,9855.46
350,42,9876.61
350,43,9875.28
350,44,9870.62
350,45,9892.15
350,46,9856.49
350,47,9863.66
350,48,9858.27
350,49,9863
350,50,9865.25
350,51,9848.45
350,52,9854.59
350,53,9858.68
350,54,9873.72
350,55,9865.37
350,56,9870.46
350,57,9871.09
350,58,9880.09
350,59,9887.73
350,60,9868.82
350,61,9871.89
350,62,9870.2
350,63,9875.65
350,64,9847.68
350,65,9859.02
350,66,9860.37
350,67,9882.91
350,68,9867.11
350,69,9859.16
350,70,9861.82
350,71,9856.55
350,72,9868.91
350,73,9879.56
350,74,9854.44
350,75,9870.94
350,76,9881.55
350,77,9864.14
350,78,9861.71
350,79,9889.61
350,80,9852.17
350,81,9876.25
350,82,9857.25
350,83,9870.9
350,84,9856.59
350,85,9862.12
350,86,9851.71
350,87,9857.4
350,88,9894.4
350,89,9877.89
350,90,9859.97
350,91,9851.18
350,92,9859.74
350,93,9854.24
350,94,9888.28
350,95,9883.98
350,96,9844.86
350,97,9876.98
350,98,9860.62
350,99,9868.53
360,0,9892.27
360,1,9865.61
360,2,9902.38
360,3,9874.66
360,4,9877.61
360,5,9878.42
360,6,9872.78
360,7,9867.61
360,8,9873.39
360,9,9873.83
360,10,9867.43
360,11,9874.79
360,12,9842.28
360,13,9893.9
360,14,9858.66
360,15,9865.73
360,16,9884.67
360,17,9898.04
360,18,9858.39
360,19,9862.96
360,20,9878.77
360,21,9877.5
360,22,9884.68
360,23,9888.29
360,24,9877.8
360,25,9855.24
360,26,9858.32
360,27,9864.47
360,28,9894.8
360,29,9861.67
360,30,9848.5
360,31,9855.17
360,32,9856.49
360,33,9877.28
360,34,9864.63
360,35,9881.2
360,36,9873.9
360,37,9866.93
360,38,9883.74
360,39,9884.61
360,40,9858.39
360,41,9855.16
360,42,9876.31
360,43,9874.98
360,44,9870.32
360,45,9891.85
360,46,9856.19
360,47,9863.36
360,48,9857.97
360,49,9862.7
360,50,9864.95
360,51,9848.15
360,52,9854.29
360,53,9858.38
360,54,9873.42
360,55,9865.07
360,56,9870.16
360,57,9870.79
360,58,9879.79
