node_id,self_trust,times_eligible,times_forwarded
0,0.5,0,0
1,0.5,0,0
2,0.5,0,0
3,0.0411771,7,0
4,0.999994,32,32
5,4.54772e-07,39,0
6,0.5,0,0
7,0.5,0,0
8,5.52214e-06,32,0
9,1,58,58
10,0.5,0,0
11,0.5,0,0
12,0.5,0,0
13,0.5,0,0
14,0.5,0,0
15,0.5,0,0
16,0.5,0,0
17,1.32587e-06,36,0
18,0.5,0,0
19,0.999994,32,32
20,0.5,0,0
21,5.52214e-06,32,0
22,0.999984,67,64
23,4.54772e-07,39,0
24,0.999994,32,32
25,0.5,0,0
26,0.5,0,0
27,0.5,0,0
28,6.0988e-11,64,0
29,0.5,0,0
30,0.5,0,0
31,0.5,0,0
32,1.32587e-06,36,0
33,4.54772e-07,39,0
34,0.5,0,0
35,0.5,0,0
36,0.5,0,0
37,0.5,0,0
38,0.5,0,0
39,0.5,0,0
40,0.5,0,0
41,5.52214e-06,32,0
42,0.5,0,0
43,0.5,0,0
44,0.5,0,0
45,0.998837,17,17
46,0.5,0,0
47,0.5,0,0
48,0.5,0,0
49,0.5,0,0
50,0.5,0,0
51,0.5,0,0
52,0.5,0,0
53,0.5,0,0
54,0.5,0,0
55,0.644427,47,32
56,0.5,0,0
57,0.5,0,0
58,1,64,64
59,0.5,0,0
60,0.5,0,0
61,0.5,0,0
62,0.5,0,0
63,0.5,0,0
64,0.5,0,0
65,0.409456,71,32
66,0.5,0,0
67,0.5,0,0
68,0.5,0,0
69,0.5,0,0
70,0.5,0,0
71,0.5,0,0
72,0.5,0,0
73,0.5,0,0
74,0.5,0,0
75,0.999999,36,36
76,0.1715,3,0
77,0.5,0,0
78,0.5,0,0
79,0.5,0,0
80,0.5,0,0
81,0.0411771,7,0
82,0.245,2,0
83,0.5,0,0
84,0.5,0,0
85,1,64,64
86,0.5,0,0
87,0.5,0,0
88,0.5,0,0
89,0.5,0,0
90,0.5,0,0
91,0.5,0,0
92,5.52214e-06,32,0
93,0.5,0,0
94,0.5,0,0
95,0.999994,32,32
96,0.5,0,0
97,0.5,0,0
98,0.5,0,0
99,0.5,0,0
