node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.999904,24,24,0
2,1,67,67,0
3,0.999186,18,18,0
4,0.999933,25,25,0
5,0.5,0,0,0
6,0.5,0,0,0
7,0.990113,11,11,0
8,0.5,0,0,0
9,0.958823,7,7,0
10,0.5,0,0,0
11,1,53,53,0
12,0.998338,16,16,0
13,0.5,0,0,0
14,0.999998,35,35,0
15,0.998837,17,17,0
16,1,85,85,0
17,1,248,248,0
18,0.5,0,0,0
19,0.5,0,0,0
20,1,64,64,0
21,0.5,0,0,0
22,0.998837,17,17,0
23,1,86,86,0
24,0.941176,6,6,0
25,0.8285,3,3,0
26,0.5,0,0,0
27,0.915965,5,5,0
28,0.915965,5,5,0
29,1,132,132,0
30,0.5,0,0,0
31,0.5,0,0,0
32,0.997626,15,15,0
33,0.5,0,0,0
34,0.87995,4,4,0
35,0.998338,16,16,0
36,0.5,0,0,0
37,0.5,0,0,0
38,0.5,0,0,0
39,1,98,98,0
40,0.8285,3,3,0
41,0.999989,30,30,0
42,0.999805,22,22,0
43,0.971176,8,8,0
44,0.5,0,0,0
45,0.979823,9,9,0
46,0.999999,37,37,0
47,0.985876,10,10,0
48,0.993079,12,12,0
49,0.5,0,0,0
50,0.915965,5,5,0
51,0.999984,29,29,0
52,0.65,1,1,0
53,0.5,0,0,0
54,0.996609,14,14,0
55,0.958823,7,7,0
56,0.5,0,0,0
57,0.99943,19,19,0
58,1,71,71,0
59,0.999805,22,22,0
60,0.755,2,2,0
61,0.999996,33,33,0
62,0.999933,25,25,0
63,0.999904,24,24,0
64,0.5,0,0,0
65,0.5,0,0,0
66,0.5,0,0,0
67,0.5,0,0,0
68,0.5,0,0,0
69,0.5,0,0,0
70,0.5,0,0,0
71,0.985876,10,10,0
72,0.8285,3,3,0
73,0.999999,38,38,0
74,1,48,48,0
75,0.5,0,0,0
76,1,68,68,0
77,0.5,0,0,0
78,0.5,0,0,0
79,1,98,98,0
80,0.755,2,2,0
81,0.985876,10,10,0
82,0.5,0,0,0
83,0.997626,15,15,0
84,0.998837,17,17,0
85,1,61,61,0
86,0.999186,18,18,0
87,0.5,0,0,0
88,0.87995,4,4,0
89,0.5,0,0,0
90,0.999721,21,21,0
91,0.755,2,2,0
92,0.998338,16,16,0
93,0.5,0,0,0
94,0.5,0,0,0
95,0.996609,14,14,0
96,0.958823,7,7,0
97,0.5,0,0,0
98,0.999721,21,21,0
99,0.5,0,0,0
