node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.5,0,0,0,0
2,0.5,0,0,0,1
3,0.5,0,0,0,0
4,0.999904,24,24,0,0
5,0.5,0,0,4,1
6,0.5,0,0,33,1
7,1,50,50,0,0
8,0.65,1,1,0,0
9,0.5,0,0,27,1
10,1,137,137,0,0
11,0.65,1,1,0,0
12,0.985876,10,10,0,0
13,0.999989,30,30,0,0
14,0.5,0,0,13,1
15,1,47,47,0,0
16,1,68,68,0,0
17,0.5,0,0,0,1
18,0.999999,37,37,0,0
19,0.5,0,0,7,1
20,0.979823,9,9,0,0
21,0.5,0,0,19,1
22,0.5,0,0,0,1
23,0.5,0,0,0,1
24,0.5,0,0,0,1
25,0.5,0,0,44,1
26,0.998837,17,17,0,0
27,0.5,0,0,38,1
28,1,41,41,0,0
29,0.5,0,0,13,1
30,0.5,0,0,17,1
31,0.5,0,0,13,1
32,0.5,0,0,0,0
33,0.5,0,0,108,1
34,0.5,0,0,0,0
35,0.5,0,0,0,1
36,1,68,68,0,0
37,0.999601,20,20,0,0
38,0.5,0,0,0,1
39,0.5,0,0,0,1
40,0.5,0,0,0,0
41,0.5,0,0,3,1
42,0.993079,12,12,0,0
43,0.5,0,0,62,1
44,0.8285,3,3,0,0
45,0.941176,6,6,0,0
46,0.999933,25,25,0,0
47,0.5,0,0,11,1
48,0.5,0,0,0,1
49,0.999601,20,20,0,0
50,0.999999,36,36,0,0
51,0.65,1,1,0,0
52,1,43,43,0,0
53,0.958823,7,7,0,0
54,0.5,0,0,104,1
55,0.999933,25,25,0,0
56,0.5,0,0,13,1
57,0.5,0,0,13,1
58,1,104,104,0,0
59,0.5,0,0,31,1
60,1,48,48,0,0
61,1,66,66,0,0
62,0.5,0,0,0,1
63,0.5,0,0,26,1
64,0.993079,12,12,0,0
65,1,50,50,0,0
66,0.65,1,1,0,0
67,0.993079,12,12,0,0
68,0.8285,3,3,0,0
69,0.5,0,0,0,1
70,0.65,1,1,0,0
71,0.5,0,0,14,1
72,0.5,0,0,0,0
73,0.5,0,0,0,0
74,0.5,0,0,54,1
75,0.5,0,0,0,1
76,0.5,0,0,10,1
77,0.958823,7,7,0,0
78,0.5,0,0,0,0
79,0.999999,36,36,0,0
80,0.985876,10,10,0,0
81,1,238,238,0,0
82,0.5,0,0,0,0
83,0.999999,37,37,0,0
84,0.5,0,0,15,1
85,0.5,0,0,19,1
86,0.5,0,0,0,0
87,0.993079,12,12,0,0
88,1,53,53,0,0
89,0.941176,6,6,0,0
90,0.5,0,0,24,1
91,0.5,0,0,0,0
92,0.990113,11,11,0,0
93,1,116,116,0,0
94,0.971176,8,8,0,0
95,0.755,2,2,0,0
96,0.5,0,0,0,1
97,0.971176,8,8,0,0
98,0.5,0,0,0,0
99,0.5,0,0,0,1
