node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.5,0,0,0
2,1,69,69,0
3,1,57,57,0
4,0.5,0,0,0
5,0.5,0,0,0
6,0.999984,29,29,0
7,0.5,0,0,0
8,0.999998,35,35,0
9,0.5,0,0,0
10,1,48,48,0
11,0.999989,30,30,0
12,0.941176,6,6,0
13,1,141,141,0
14,0.8285,3,3,0
15,0.999999,38,38,0
16,0.995156,13,13,0
17,0.99943,19,19,0
18,1,82,82,0
19,0.915965,5,5,0
20,0.998837,17,17,0
21,0.5,0,0,0
22,0.999984,29,29,0
23,1,47,47,0
24,1,181,181,0
25,0.99943,19,19,0
26,0.999863,23,23,0
27,0.985876,10,10,0
28,1,134,134,0
29,0.8285,3,3,0
30,0.65,1,1,0
31,1,48,48,0
32,0.990113,11,11,0
33,0.5,0,0,0
34,0.99943,19,19,0
35,1,44,44,0
36,0.999953,26,26,0
37,0.5,0,0,0
38,0.5,0,0,0
39,0.999601,20,20,0
40,0.998837,17,17,0
41,0.958823,7,7,0
42,0.5,0,0,0
43,0.999933,25,25,0
44,0.5,0,0,0
45,0.971176,8,8,0
46,0.999186,18,18,0
47,0.5,0,0,0
48,0.997626,15,15,0
49,0.995156,13,13,0
50,0.5,0,0,0
51,0.941176,6,6,0
52,1,62,62,0
53,0.990113,11,11,0
54,1,79,79,0
55,0.5,0,0,0
56,0.999999,37,37,0
57,0.65,1,1,0
58,0.5,0,0,0
59,1,76,76,0
60,0.999933,25,25,0
61,0.999933,25,25,0
62,1,47,47,0
63,0.5,0,0,0
64,0.5,0,0,0
65,1,97,97,0
66,0.5,0,0,0
67,0.999904,24,24,0
68,1,64,64,0
69,0.5,0,0,0
70,1,44,44,0
71,0.971176,8,8,0
72,0.999992,31,31,0
73,1,41,41,0
74,0.999805,22,22,0
75,0.5,0,0,0
76,0.995156,13,13,0
77,0.5,0,0,0
78,0.998338,16,16,0
79,0.996609,14,14,0
80,0.755,2,2,0
81,0.996609,14,14,0
82,0.915965,5,5,0
83,0.915965,5,5,0
84,0.8285,3,3,0
85,0.5,0,0,0
86,1,48,48,0
87,0.985876,10,10,0
88,0.5,0,0,0
89,1,81,81,0
90,0.5,0,0,0
91,0.8285,3,3,0
92,0.5,0,0,0
93,0.999999,37,37,0
94,0.5,0,0,0
95,0.990113,11,11,0
96,0.5,0,0,0
97,0.8285,3,3,0
98,0.985876,10,10,0
99,1,57,57,0
