node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.999721,21,21,0
2,1,44,44,0
3,1,97,97,0
4,0.999863,23,23,0
5,1,56,56,0
6,0.990113,11,11,0
7,0.8285,3,3,0
8,0.5,0,0,0
9,0.999721,21,21,0
10,0.5,0,0,0
11,0.971176,8,8,0
12,0.755,2,2,0
13,0.990113,11,11,0
14,1,40,40,0
15,0.5,0,0,0
16,0.5,0,0,0
17,0.5,0,0,0
18,0.999967,27,27,0
19,1,299,299,0
20,0.5,0,0,0
21,0.985876,10,10,0
22,0.65,1,1,0
23,0.5,0,0,0
24,0.990113,11,11,0
25,0.979823,9,9,0
26,0.5,0,0,0
27,0.993079,12,12,0
28,0.998338,16,16,0
29,1,60,60,0
30,0.5,0,0,0
31,0.5,0,0,0
32,0.971176,8,8,0
33,0.65,1,1,0
34,0.99943,19,19,0
35,0.993079,12,12,0
36,1,41,41,0
37,0.998338,16,16,0
38,0.999953,26,26,0
39,0.979823,9,9,0
40,1,72,72,0
41,0.5,0,0,0
42,0.985876,10,10,0
43,0.8285,3,3,0
44,0.999186,18,18,0
45,0.998837,17,17,0
46,0.5,0,0,0
47,0.99943,19,19,0
48,0.985876,10,10,0
49,0.5,0,0,0
50,0.915965,5,5,0
51,0.5,0,0,0
52,0.999601,20,20,0
53,0.5,0,0,0
54,0.5,0,0,0
55,0.941176,6,6,0
56,0.999933,25,25,0
57,0.5,0,0,0
58,0.5,0,0,0
59,0.5,0,0,0
60,0.5,0,0,0
61,0.999904,24,24,0
62,0.5,0,0,0
63,0.993079,12,12,0
64,0.979823,9,9,0
65,0.5,0,0,0
66,1,66,66,0
67,0.915965,5,5,0
68,0.958823,7,7,0
69,0.958823,7,7,0
70,1,48,48,0
71,0.5,0,0,0
72,0.993079,12,12,0
73,1,59,59,0
74,1,39,39,0
75,1,47,47,0
76,0.5,0,0,0
77,0.971176,8,8,0
78,0.999933,25,25,0
79,0.65,1,1,0
80,0.999992,31,31,0
81,0.5,0,0,0
82,0.5,0,0,0
83,0.990113,11,11,0
84,0.998338,16,16,0
85,0.999721,21,21,0
86,0.999989,30,30,0
87,0.5,0,0,0
88,0.5,0,0,0
89,0.999805,22,22,0
90,0.5,0,0,0
91,0.999933,25,25,0
92,0.996609,14,14,0
93,0.999967,27,27,0
94,0.979823,9,9,0
95,0.915965,5,5,0
96,0.999953,26,26,0
97,0.8285,3,3,0
98,1,249,249,0
99,0.755,2,2,0
