node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.941176,6,6,0
2,0.5,0,0,0
3,0.8285,3,3,0
4,0.971176,8,8,0
5,0.993079,12,12,0
6,0.5,0,0,0
7,0.5,0,0,0
8,0.998338,16,16,0
9,0.941176,6,6,0
10,0.999989,30,30,0
11,0.5,0,0,0
12,0.999977,28,28,0
13,1,45,45,0
14,0.5,0,0,0
15,0.999967,27,27,0
16,0.941176,6,6,0
17,0.993079,12,12,0
18,0.985876,10,10,0
19,0.5,0,0,0
20,0.998837,17,17,0
21,0.5,0,0,0
22,1,50,50,0
23,0.998837,17,17,0
24,0.5,0,0,0
25,1,56,56,0
26,0.990113,11,11,0
27,0.5,0,0,0
28,0.999601,20,20,0
29,0.5,0,0,0
30,0.999933,25,25,0
31,0.5,0,0,0
32,1,47,47,0
33,0.999721,21,21,0
34,0.5,0,0,0
35,1,50,50,0
36,0.5,0,0,0
37,0.5,0,0,0
38,1,96,96,0
39,0.999953,26,26,0
40,0.999601,20,20,0
41,0.5,0,0,0
42,0.5,0,0,0
43,0.5,0,0,0
44,0.995156,13,13,0
45,0.5,0,0,0
46,1,48,48,0
47,0.995156,13,13,0
48,0.995156,13,13,0
49,0.5,0,0,0
50,1,45,45,0
51,0.915965,5,5,0
52,0.5,0,0,0
53,1,57,57,0
54,0.999805,22,22,0
55,0.5,0,0,0
56,1,51,51,0
57,1,43,43,0
58,0.958823,7,7,0
59,0.5,0,0,0
60,0.985876,10,10,0
61,0.999933,25,25,0
62,0.941176,6,6,0
63,1,44,44,0
64,0.99943,19,19,0
65,1,39,39,0
66,0.5,0,0,0
67,0.5,0,0,0
68,0.99943,19,19,0
69,0.5,0,0,0
70,0.999977,28,28,0
71,0.5,0,0,0
72,0.5,0,0,0
73,0.999984,29,29,0
74,1,39,39,0
75,0.915965,5,5,0
76,0.995156,13,13,0
77,0.8285,3,3,0
78,0.999977,28,28,0
79,1,368,368,0
80,0.998338,16,16,0
81,0.999721,21,21,0
82,0.997626,15,15,0
83,0.8285,3,3,0
84,0.999984,29,29,0
85,0.998338,16,16,0
86,0.985876,10,10,0
87,0.755,2,2,0
88,0.65,1,1,0
89,0.999721,21,21,0
90,0.979823,9,9,0
91,0.755,2,2,0
92,0.995156,13,13,0
93,0.993079,12,12,0
94,0.999994,32,32,0
95,0.999953,26,26,0
96,0.990113,11,11,0
97,0.5,0,0,0
98,0.755,2,2,0
99,1,51,51,0
