node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.5,0,0,0,1
2,0.999933,25,25,0,0
3,0.5,0,0,0,1
4,0.5,0,0,0,0
5,0.5,0,0,0,0
6,0.87995,4,4,0,0
7,0.999992,31,31,0,0
8,0.996609,14,14,0,0
9,0.5,0,0,0,0
10,0.999721,21,21,0,0
11,0.5,0,0,20,1
12,0.990113,11,11,0,0
13,0.999721,21,21,0,0
14,0.958823,7,7,0,0
15,0.5,0,0,0,0
16,0.5,0,0,6,1
17,0.5,0,0,0,0
18,0.5,0,0,0,0
19,0.971176,8,8,0,0
20,0.5,0,0,0,1
21,0.5,0,0,13,1
22,0.755,2,2,0,0
23,0.5,0,0,10,1
24,0.65,1,1,0,0
25,1,170,170,0,0
26,1,71,71,0,0
27,0.5,0,0,0,0
28,0.5,0,0,0,0
29,0.5,0,0,10,1
30,1,45,45,0,0
31,0.5,0,0,9,1
32,0.979823,9,9,0,0
33,0.5,0,0,42,1
34,0.993079,12,12,0,0
35,0.5,0,0,0,0
36,0.5,0,0,0,0
37,1,64,64,0,0
38,0.5,0,0,0,0
39,1,41,41,0,0
40,0.999989,30,30,0,0
41,1,65,65,0,0
42,0.5,0,0,0,0
43,0.971176,8,8,0,0
44,0.5,0,0,0,0
45,1,42,42,0,0
46,1,211,211,0,0
47,0.999186,18,18,0,0
48,0.999186,18,18,0,0
49,0.999953,26,26,0,0
50,0.5,0,0,0,0
51,1,44,44,0,0
52,1,46,46,0,0
53,0.5,0,0,0,0
54,0.999953,26,26,0,0
55,0.5,0,0,8,1
56,0.915965,5,5,0,0
57,0.958823,7,7,0,0
58,0.5,0,0,0,0
59,0.65,1,1,0,0
60,0.5,0,0,0,0
61,1,56,56,0,0
62,0.958823,7,7,0,0
63,0.5,0,0,115,1
64,0.999805,22,22,0,0
65,0.993079,12,12,0,0
66,0.941176,6,6,0,0
67,0.8285,3,3,0,0
68,0.5,0,0,3,1
69,0.5,0,0,0,1
70,0.5,0,0,0,0
71,0.999904,24,24,0,0
72,0.5,0,0,67,1
73,0.993079,12,12,0,0
74,0.8285,3,3,0,0
75,0.990113,11,11,0,0
76,0.5,0,0,42,1
77,0.996609,14,14,0,0
78,0.5,0,0,6,1
79,0.999601,20,20,0,0
80,0.5,0,0,0,0
81,1,55,55,0,0
82,1,45,45,0,0
83,1,52,52,0,0
84,0.941176,6,6,0,0
85,0.971176,8,8,0,0
86,0.5,0,0,0,0
87,0.5,0,0,196,1
88,1,49,49,0,0
89,0.990113,11,11,0,0
90,0.941176,6,6,0,0
91,1,50,50,0,0
92,1,97,97,0,0
93,0.5,0,0,0,1
94,0.5,0,0,201,1
95,0.999601,20,20,0,0
96,1,80,80,0,0
97,0.999977,28,28,0,0
98,0.5,0,0,0,0
99,0.5,0,0,0,0
