seed,node_id,self_trust,times_eligible,times_forwarded
42,0,0.5,0,0
42,1,0.98552,15,14
42,2,0.5,0,0
42,3,0.5,0,0
42,4,0.5,0,0
42,5,0.5,0,0
42,6,5.52214e-06,32,0
42,7,1,64,64
42,8,0.5,0,0
42,9,0.319635,96,32
42,10,0.5,0,0
42,11,0.5,0,0
42,12,0.999994,32,32
42,13,0.5,0,0
42,14,0.999994,32,32
42,15,1,63,63
42,16,0.5,0,0
42,17,0.5,0,0
42,18,0.5,0,0
42,19,0.999994,32,32
42,20,0.5,0,0
42,21,0.00484445,13,0
42,22,0.245,2,0
42,23,0.5,0,0
42,24,0.926972,42,38
42,25,0.5,0,0
42,26,0.5,0,0
42,27,0.999994,32,32
42,28,5.52214e-06,32,0
42,29,0.5,0,0
42,30,0.999994,32,32
42,31,0.5,0,0
42,32,0.5,0,0
42,33,0.5,0,0
42,34,3.8655e-06,33,0
42,35,0.5,0,0
42,36,5.52214e-06,32,0
42,37,0.5,0,0
42,38,0.5,0,0
42,39,0.5,0,0
42,40,0.5,0,0
42,41,0.5,0,0
42,42,0.5,0,0
42,43,0.5,0,0
42,44,0.5,0,0
42,45,0.999992,31,31
42,46,5.52214e-06,32,0
42,47,0.5,0,0
42,48,5.52214e-06,32,0
42,49,0.5,0,0
42,50,0.5,0,0
42,51,0.5,0,0
42,52,0.5,0,0
42,53,0.5,0,0
42,54,0.5,0,0
42,55,0.5,0,0
42,56,5.52214e-06,32,0
42,57,0.5,0,0
42,58,0.999994,32,32
42,59,0.5,0,0
42,60,0.5,0,0
42,61,0.5,0,0
42,62,0.5,0,0
42,63,0.5,0,0
42,64,0.999994,32,32
42,65,5.52214e-06,32,0
42,66,5.52214e-06,32,0
42,67,0.5,0,0
42,68,0.5,0,0
42,69,5.52214e-06,32,0
42,70,0.5,0,0
42,71,0.5,0,0
42,72,0.5,0,0
42,73,0.000136844,23,0
42,74,0.5,0,0
42,75,0.670035,32,19
42,76,0.5,0,0
42,77,0.5,0,0
42,78,0.5,0,0
42,79,0.5,0,0
42,80,0.5,0,0
42,81,0.245,2,0
42,82,0.999994,32,32
42,83,6.0988e-11,64,0
42,84,0.5,0,0
42,85,0.5,0,0
42,86,0.5,0,0
42,87,0.5,0,0
42,88,0.5,0,0
42,89,0.5,0,0
42,90,0.5,0,0
42,91,0.999994,32,32
42,92,0.5,0,0
42,93,0.5,0,0
42,94,5.52214e-06,32,0
42,95,1,64,64
42,96,0.5,0,0
42,97,5.52214e-06,32,0
42,98,0.5,0,0
42,99,0.5,0,0
7,0,0.5,0,0
7,1,0.5,0,0
7,2,0.5,0,0
7,3,0.0411771,7,0
7,4,0.999994,32,32
7,5,4.54772e-07,39,0
7,6,0.5,0,0
7,7,0.5,0,0
7,8,5.52214e-06,32,0
7,9,1,58,58
7,10,0.5,0,0
7,11,0.5,0,0
7,12,0.5,0,0
7,13,0.5,0,0
7,14,0.5,0,0
7,15,0.5,0,0
7,16,0.5,0,0
7,17,1.32587e-06,36,0
7,18,0.5,0,0
7,19,0.999994,32,32
7,20,0.5,0,0
7,21,5.52214e-06,32,0
7,22,0.999984,67,64
7,23,4.54772e-07,39,0
7,24,0.999994,32,32
7,25,0.5,0,0
7,26,0.5,0,0
7,27,0.5,0,0
7,28,6.0988e-11,64,0
7,29,0.5,0,0
7,30,0.5,0,0
7,31,0.5,0,0
7,32,1.32587e-06,36,0
7,33,4.54772e-07,39,0
7,34,0.5,0,0
7,35,0.5,0,0
7,36,0.5,0,0
7,37,0.5,0,0
7,38,0.5,0,0
7,39,0.5,0,0
7,40,0.5,0,0
7,41,5.52214e-06,32,0
7,42,0.5,0,0
7,43,0.5,0,0
7,44,0.5,0,0
7,45,0.998837,17,17
7,46,0.5,0,0
7,47,0.5,0,0
7,48,0.5,0,0
7,49,0.5,0,0
7,50,0.5,0,0
7,51,0.5,0,0
7,52,0.5,0,0
7,53,0.5,0,0
7,54,0.5,0,0
7,55,0.644427,47,32
7,56,0.5,0,0
7,57,0.5,0,0
7,58,1,64,64
7,59,0.5,0,0
7,60,0.5,0,0
7,61,0.5,0,0
7,62,0.5,0,0
7,63,0.5,0,0
7,64,0.5,0,0
7,65,0.409456,71,32
7,66,0.5,0,0
7,67,0.5,0,0
7,68,0.5,0,0
7,69,0.5,0,0
7,70,0.5,0,0
7,71,0.5,0,0
7,72,0.5,0,0
7,73,0.5,0,0
7,74,0.5,0,0
7,75,0.999999,36,36
7,76,0.1715,3,0
7,77,0.5,0,0
7,78,0.5,0,0
7,79,0.5,0,0
7,80,0.5,0,0
7,81,0.0411771,7,0
7,82,0.245,2,0
7,83,0.5,0,0
7,84,0.5,0,0
7,85,1,64,64
7,86,0.5,0,0
7,87,0.5,0,0
7,88,0.5,0,0
7,89,0.5,0,0
7,90,0.5,0,0
7,91,0.5,0,0
7,92,5.52214e-06,32,0
7,93,0.5,0,0
7,94,0.5,0,0
7,95,0.999994,32,32
7,96,0.5,0,0
7,97,0.5,0,0
7,98,0.5,0,0
7,99,0.5,0,0
123,0,0.5,0,0
123,1,0.990113,11,11
123,2,0.5,0,0
123,3,0.5,0,0
123,4,0.5,0,0
123,5,0.5,0,0
123,6,0.5,0,0
123,7,0.5,0,0
123,8,0.649565,38,32
123,9,0.5,0,0
123,10,0.5,0,0
123,11,0.5,0,0
123,12,0.5,0,0
123,13,0.5,0,0
123,14,2.70585e-06,34,0
123,15,0.5,0,0
123,16,0.5,0,0
123,17,0.5,0,0
123,18,0.5,0,0
123,19,0.00116315,17,0
123,20,0.5,0,0
123,21,1.12697e-05,30,0
123,22,0.5,0,0
123,23,6.0988e-11,64,0
123,24,0.5,0,0
123,25,6.0988e-11,64,0
123,26,5.52214e-06,32,0
123,27,1,64,64
123,28,5.52214e-06,32,0
123,29,0.000569945,19,0
123,30,0.5,0,0
123,31,6.0988e-11,64,0
123,32,0.00988663,11,0
123,33,0.5,0,0
123,34,2.22838e-07,41,0
123,35,0.5,0,0
123,36,0.5,0,0
123,37,0.5,0,0
123,38,0.5,0,0
123,39,0.5,0,0
123,40,0.5,0,0
123,41,0.5,0,0
123,42,0.5,0,0
123,43,0.5,0,0
123,44,0.5,0,0
123,45,1,51,51
123,46,0.5,0,0
123,47,0.5,0,0
123,48,0.5,0,0
123,49,1.83517e-08,48,0
123,50,0.5,0,0
123,51,0.5,0,0
123,52,0.5,0,0
123,53,0.5,0,0
123,54,5.52214e-06,32,0
123,55,6.29463e-09,51,0
123,56,0.5,0,0
123,57,0.5,0,0
123,58,0.999994,32,32
123,59,0.5,0,0
123,60,0.5,0,0
123,61,0.5,0,0
123,62,0.5,0,0
123,63,0.5,0,0
123,64,0.5,0,0
123,65,0.1715,3,0
123,66,0.5,0,0
123,67,0.5,0,0
123,68,0.5,0,0
123,69,0.5,0,0
123,70,0.5,0,0
123,71,0.5,0,0
123,72,0.5,0,0
123,73,0.5,0,0
123,74,0.5,0,0
123,75,0.999994,32,32
123,76,0.5,0,0
123,77,5.52214e-06,32,0
123,78,0.5,0,0
123,79,0.5,0,0
123,80,0.5,0,0
123,81,6.49674e-07,38,0
123,82,0.5,0,0
123,83,0.5,0,0
123,84,0.5,0,0
123,85,0.999994,32,32
123,86,0.5,0,0
123,87,0.5,0,0
123,88,0.5,0,0
123,89,0.5,0,0
123,90,5.52214e-06,32,0
123,91,0.5,0,0
123,92,0.5,0,0
123,93,5.52214e-06,32,0
123,94,0.5,0,0
123,95,0.5,0,0
123,96,0.5,0,0
123,97,0.5,0,0
123,98,0.5,0,0
123,99,0.5,0,0
2024,0,0.5,0,0
2024,1,0.999994,32,32
2024,2,0.5,0,0
2024,3,0.377718,49,23
2024,4,0.5,0,0
2024,5,0.5,0,0
2024,6,0.5,0,0
2024,7,0.5,0,0
2024,8,0.999994,32,32
2024,9,0.588235,64,32
2024,10,0.5,0,0
2024,11,0.5,0,0
2024,12,0.5,0,0
2024,13,0.5,0,0
2024,14,0.5,0,0
2024,15,0.999994,32,32
2024,16,0.5,0,0
2024,17,0.5,0,0
2024,18,0.5,0,0
2024,19,0.5,0,0
2024,20,0.5,0,0
2024,21,9.57906e-05,24,0
2024,22,5.52214e-06,32,0
2024,23,0.5,0,0
2024,24,0.086802,14,3
2024,25,0.5,0,0
2024,26,5.52214e-06,32,0
2024,27,5.52214e-06,32,0
2024,28,0.5,0,0
2024,29,0.5,0,0
2024,30,0.5,0,0
2024,31,0.5,0,0
2024,32,0.999994,32,32
2024,33,2.70585e-06,34,0
2024,34,0.999994,32,32
2024,35,0.5,0,0
2024,36,5.52214e-06,32,0
2024,37,0.5,0,0
2024,38,0.5,0,0
2024,39,0.5,0,0
2024,40,0.5,0,0
2024,41,0.5,0,0
2024,42,0.5,0,0
2024,43,0.5,0,0
2024,44,0.5,0,0
2024,45,1,105,105
2024,46,0.5,0,0
2024,47,5.52214e-06,32,0
2024,48,0.5,0,0
2024,49,0.5,0,0
2024,50,0.5,0,0
2024,51,6.0988e-11,64,0
2024,52,0.5,0,0
2024,53,0.5,0,0
2024,54,0.5,0,0
2024,55,0.5,0,0
2024,56,0.5,0,0
2024,57,0.5,0,0
2024,58,0.5,0,0
2024,59,0.5,0,0
2024,60,0.5,0,0
2024,61,5.52214e-06,32,0
2024,62,0.5,0,0
2024,63,0.5,0,0
2024,64,0.5,0,0
2024,65,1.05794e-09,56,0
2024,66,0.5,0,0
2024,67,0.5,0,0
2024,68,0.5,0,0
2024,69,0.5,0,0
2024,70,0.5,0,0
2024,71,0.5,0,0
2024,72,0.5,0,0
2024,73,0.5,0,0
2024,74,0.5,0,0
2024,75,0.999994,32,32
2024,76,0.5,0,0
2024,77,5.52214e-06,32,0
2024,78,0.5,0,0
2024,79,0.5,0,0
2024,80,0.5,0,0
2024,81,0.000569945,19,0
2024,82,0.5,0,0
2024,83,5.52214e-06,32,0
2024,84,0.5,0,0
2024,85,0.5,0,0
2024,86,0.999994,32,32
2024,87,5.52214e-06,32,0
2024,88,0.999994,32,32
2024,89,0.5,0,0
2024,90,5.52214e-06,32,0
2024,91,0.5,0,0
2024,92,0.5,0,0
2024,93,5.52214e-06,32,0
2024,94,0.245,2,0
2024,95,0.998015,29,24
2024,96,0.5,0,0
2024,97,0.5,0,0
2024,98,0.5,0,0
2024,99,0.5,0,0
99,0,0.5,0,0
99,1,0.5,0,0
99,2,0.5,0,0
99,3,0.680365,96,64
99,4,0.5,0,0
99,5,5.52214e-06,32,0
99,6,0.5,0,0
99,7,5.52214e-06,32,0
99,8,0.5,0,0
99,9,0.5,0,0
99,10,0.5,0,0
99,11,0.5,0,0
99,12,0.5,0,0
99,13,0.5,0,0
99,14,0.5,0,0
99,15,0.5,0,0
99,16,0.5,0,0
99,17,0.5,0,0
99,18,0.5,0,0
99,19,0.5,0,0
99,20,0.999994,32,32
99,21,6.0988e-11,64,0
99,22,0.5,0,0
99,23,0.5,0,0
99,24,0.776256,96,64
99,25,0.5,0,0
99,26,0.5,0,0
99,27,0.999994,32,32
99,28,0.5,0,0
99,29,0.5,0,0
99,30,0.999994,32,32
99,31,0.5,0,0
99,32,0.5,0,0
99,33,6.0988e-11,64,0
99,34,0.5,0,0
99,35,0.5,0,0
99,36,0.5,0,0
99,37,0.5,0,0
99,38,0.5,0,0
99,39,0.5,0,0
99,40,0.5,0,0
99,41,0.5,0,0
99,42,0.999994,32,32
99,43,0.5,0,0
99,44,0.5,0,0
99,45,0.999994,32,32
99,46,6.0988e-11,64,0
99,47,0.5,0,0
99,48,0.999994,32,32
99,49,0.5,0,0
99,50,0.5,0,0
99,51,0.5,0,0
99,52,0.5,0,0
99,53,0.5,0,0
99,54,0.5,0,0
99,55,0.5,0,0
99,56,0.5,0,0
99,57,0.5,0,0
99,58,0.5,0,0
99,59,0.5,0,0
99,60,0.5,0,0
99,61,0.5,0,0
99,62,0.5,0,0
99,63,0.5,0,0
99,64,0.5,0,0
99,65,0.588235,64,32
99,66,6.0988e-11,64,0
99,67,0.5,0,0
99,68,0.5,0,0
99,69,0.5,0,0
99,70,0.5,0,0
99,71,0.999994,32,32
99,72,0.5,0,0
99,73,0.5,0,0
99,74,0.5,0,0
99,75,0.5,0,0
99,76,0.5,0,0
99,77,0.5,0,0
99,78,0.999994,32,32
99,79,0.5,0,0
99,80,0.5,0,0
99,81,5.52214e-06,32,0
99,82,0.5,0,0
99,83,5.52214e-06,32,0
99,84,0.5,0,0
99,85,0.5,0,0
99,86,0.5,0,0
99,87,0.5,0,0
99,88,0.5,0,0
99,89,0.5,0,0
99,90,0.5,0,0
99,91,0.5,0,0
99,92,0.5,0,0
99,93,0.5,0,0
99,94,0.5,0,0
99,95,0.5,0,0
99,96,0.5,0,0
99,97,0.5,0,0
99,98,0.5,0,0
99,99,0.5,0,0
