node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.998837,17,17,0
2,1,44,44,0
3,0.99943,19,19,0
4,0.999989,30,30,0
5,0.999953,26,26,0
6,0.998837,17,17,0
7,0.997626,15,15,0
8,0.990113,11,11,0
9,0.998837,17,17,0
10,0.993079,12,12,0
11,0.995156,13,13,0
12,0.999904,24,24,0
13,0.999721,21,21,0
14,0.985876,10,10,0
15,0.999863,23,23,0
16,0.5,0,0,0
17,1,56,56,0
18,0.997626,15,15,0
19,1,44,44,0
20,0.971176,8,8,0
21,0.5,0,0,0
22,0.993079,12,12,0
23,0.5,0,0,0
24,0.5,0,0,0
25,1,93,93,0
26,0.65,1,1,0
27,0.5,0,0,0
28,0.999601,20,20,0
29,0.971176,8,8,0
30,0.5,0,0,0
31,0.5,0,0,0
32,0.941176,6,6,0
33,0.5,0,0,0
34,0.995156,13,13,0
35,0.5,0,0,0
36,0.5,0,0,0
37,0.979823,9,9,0
38,1,62,62,0
39,0.5,0,0,0
40,0.999992,31,31,0
41,1,160,160,0
42,0.5,0,0,0
43,0.5,0,0,0
44,1,59,59,0
45,0.999805,22,22,0
46,0.5,0,0,0
47,0.999933,25,25,0
48,0.5,0,0,0
49,0.998338,16,16,0
50,0.755,2,2,0
51,1,46,46,0
52,0.5,0,0,0
53,0.997626,15,15,0
54,0.915965,5,5,0
55,0.5,0,0,0
56,0.999977,28,28,0
57,0.999998,35,35,0
58,1,93,93,0
59,1,39,39,0
60,1,231,231,0
61,0.990113,11,11,0
62,1,41,41,0
63,0.941176,6,6,0
64,0.65,1,1,0
65,0.941176,6,6,0
66,1,163,163,0
67,0.5,0,0,0
68,0.993079,12,12,0
69,0.998837,17,17,0
70,0.999601,20,20,0
71,0.999999,36,36,0
72,0.755,2,2,0
73,0.999999,36,36,0
74,1,41,41,0
75,0.5,0,0,0
76,1,43,43,0
77,1,62,62,0
78,0.999721,21,21,0
79,0.87995,4,4,0
80,0.65,1,1,0
81,1,42,42,0
82,0.999996,33,33,0
83,1,51,51,0
84,0.5,0,0,0
85,1,214,214,0
86,1,55,55,0
87,0.990113,11,11,0
88,0.5,0,0,0
89,0.958823,7,7,0
90,0.5,0,0,0
91,0.999863,23,23,0
92,1,58,58,0
93,1,70,70,0
94,0.999992,31,31,0
95,0.996609,14,14,0
96,0.958823,7,7,0
97,0.5,0,0,0
98,1,62,62,0
99,0.999805,22,22,0
