node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.990113,11,11,0
2,0.998338,16,16,0
3,0.998338,16,16,0
4,0.999999,38,38,0
5,3.28562e-05,27,0,1
6,0.99943,19,19,0
7,0.990113,11,11,0
8,0.995156,13,13,0
9,0.00339112,14,0,1
10,0.99943,19,19,0
11,0.87995,4,4,0
12,0.999977,28,28,0
13,0.999601,20,20,0
14,0.00692064,12,0,1
15,0.999977,28,28,0
16,0.5,0,0,1
17,1,65,65,0
18,0.999992,31,31,0
19,0.999721,21,21,0
20,0.958823,7,7,0
21,0.5,0,0,0
22,0.0201768,9,0,1
23,0.5,0,0,0
24,0.5,0,0,0
25,1,99,99,0
26,0.5,0,0,0
27,0.5,0,0,1
28,0.999904,24,24,0
29,0.993079,12,12,0
30,0.65,1,1,0
31,0.5,0,0,0
32,0.958823,7,7,0
33,0.5,0,0,0
34,0.999601,20,20,0
35,0.5,0,0,1
36,0.5,0,0,0
37,0.971176,8,8,0
38,1,57,57,0
39,0.5,0,0,0
40,0.000136844,23,0,1
41,1,145,145,0
42,0.5,0,0,0
43,0.755,2,2,0
44,1.51134e-09,55,0,1
45,0.999863,23,23,0
46,0.5,0,0,0
47,0.995156,13,13,0
48,0.5,0,0,0
49,0.995156,13,13,0
50,0.8285,3,3,0
51,1,44,44,0
52,0.5,0,0,0
53,0.999933,25,25,0
54,0.65,1,1,0
55,0.5,0,0,0
56,0.998338,16,16,0
57,0.00116315,17,0,1
58,1,87,87,0
59,0.999999,38,38,0
60,4.44621e-31,194,0,1
61,0.990113,11,11,0
62,0.999999,36,36,0
63,0.941176,6,6,0
64,0.65,1,1,0
65,0.958823,7,7,0
66,1,157,157,0
67,0.5,0,0,1
68,0.999186,18,18,0
69,0.999863,23,23,0
70,0.00116315,17,0,1
71,1.89409e-06,35,0,1
72,0.5,0,0,0
73,0.999989,30,30,0
74,3.08437e-09,53,0,1
75,0.5,0,0,0
76,1,56,56,0
77,1,65,65,0
78,0.00692064,12,0,1
79,0.979823,9,9,0
80,0.65,1,1,0
81,0.000814207,18,0,1
82,0.00116315,17,0,1
83,1.32587e-06,36,0,1
84,0.5,0,0,0
85,1,230,230,0
86,1,55,55,0
87,0.87995,4,4,0
88,0.5,0,0,0
89,0.993079,12,12,0
90,0.5,0,0,0
91,0.999904,24,24,0
92,1,68,68,0
93,0.999998,35,35,0
94,0.999933,25,25,0
95,0.995156,13,13,0
96,0.915965,5,5,0
97,0.5,0,0,0
98,3.62873e-10,59,0,1
99,0.998338,16,16,0
