time,node_id,residual_energy
1280,80,9434.8
1280,81,9401.64
1280,82,9445.22
1280,83,9505.82
1280,84,9412.14
1280,85,9446.57
1280,86,9393.05
1280,87,9532.96
1280,88,9406.44
1280,89,9345.68
1280,90,9389.73
1280,91,9393.41
1280,92,9364.54
1280,93,9366.92
1280,94,9553.84
1280,95,9356.36
1280,96,9354.94
1280,97,9431.84
1280,98,9473.87
1280,99,9397.36
1290,0,9559.91
1290,1,9450.28
1290,2,9450.07
1290,3,9456.1
1290,4,9401.64
1290,5,9281.96
1290,6,9388.52
1290,7,9344.17
1290,8,9398.77
1290,9,9367.19
1290,10,9350.96
1290,11,9403.58
1290,12,9307.85
1290,13,9444.08
1290,14,9441.99
1290,15,9503.34
1290,16,9483.4
1290,17,9366.11
1290,18,9411.3
1290,19,9377.71
1290,20,9433.95
1290,21,9392.32
1290,22,9396.44
1290,23,9467.04
1290,24,9442.89
1290,25,9400.68
1290,26,9460.25
1290,27,9460.12
1290,28,9576.21
1290,29,9493.15
1290,30,9489.97
1290,31,9450.09
1290,32,9424.18
1290,33,9483.5
1290,34,9432.37
1290,35,9388.23
1290,36,9407.29
1290,37,9444.64
1290,38,9407.39
1290,39,9356.45
1290,40,9428
1290,41,9380.63
1290,42,9335.78
1290,43,9382
1290,44,9331.03
1290,45,9516.16
1290,46,9523.21
1290,47,9467.83
1290,48,9464.9
1290,49,9417.23
1290,50,9341.59
1290,51,9397.2
1290,52,9351.87
1290,53,9381.3
1290,54,9457.24
1290,55,9328.03
1290,56,9430.32
1290,57,9361.27
1290,58,9427.61
1290,59,9412.1
1290,60,9442.59
1290,61,9325.86
1290,62,9427.65
1290,63,9448.47
1290,64,9319.24
1290,65,9359.17
1290,66,9485.22
1290,67,9361.32
1290,68,9560.56
1290,69,9425.92
1290,70,9319.76
1290,71,9454.18
1290,72,9381.38
1290,73,9349.49
1290,74,9581.24
1290,75,9395.71
1290,76,9506.07
1290,77,9298.2
1290,78,9364.21
1290,79,9405.16
1290,80,9419.65
1290,81,9382.5
1290,82,9432.73
1290,83,9496.39
1290,84,9397.08
1290,85,9430.31
1290,86,9376.54
1290,87,9522.05
1290,88,9393.27
1290,89,9326.88
1290,90,9375.85
1290,91,9378.43
1290,92,9348.9
1290,93,9350.42
1290,94,9544.13
1290,95,9336.93
1290,96,9336.98
1290,97,9418.07
1290,98,9458.76
1290,99,9378.04
1300,0,9559.61
1300,1,9449.99
1300,2,9449.79
1300,3,9455.82
1300,4,9401.36
1300,5,9281.72
1300,6,9388.22
1300,7,9343.88
1300,8,9398.51
1300,9,9366.9
1300,10,9350.69
1300,11,9403.28
1300,12,9307.57
1300,13,9443.8
1300,14,9441.69
1300,15,9503.04
1300,16,9483.1
1300,17,9365.81
1300,18,9411
1300,19,9377.45
1300,20,9433.65
1300,21,9392.03
1300,22,9396.14
1300,23,9466.74
1300,24,9442.59
1300,25,9400.41
1300,26,9459.97
1300,27,9459.82
1300,28,9575.91
1300,29,9492.85
1300,30,9489.67
1300,31,9449.79
1300,32,9423.91
1300,33,9483.2
1300,34,9432.08
1300,35,9387.95
1300,36,9406.99
1300,37,9444.34
1300,38,9407.09
1300,39,9356.17
1300,40,9427.7
1300,41,9380.33
1300,42,9335.48
1300,43,9381.71
1300,44,9330.79
1300,45,9515.86
1300,46,9522.91
1300,47,9467.53
1300,48,9464.6
1300,49,9416.97
1300,50,9341.33
1300,51,9396.9
1300,52,9351.6
1300,53,9381.02
1300,54,9456.94
1300,55,9327.76
1300,56,9430.02
1300,57,9360.97
1300,58,9427.31
1300,59,9411.83
1300,60,9442.32
1300,61,9325.56
1300,62,9427.37
1300,63,9448.18
1300,64,9318.98
1300,65,9358.87
1300,66,9484.92
1300,67,9361.07
1300,68,9560.26
1300,69,9425.62
1300,70,9319.49
1300,71,9453.88
1300,72,9381.1
1300,73,9349.22
1300,74,9580.94
1300,75,9395.41
1300,76,9505.78
1300,77,9297.93
1300,78,9363.93
1300,79,9404.88
1300,80,9419.35
1300,81,9382.25
1300,82,9432.43
1300,83,9496.09
1300,84,9396.78
1300,85,9430.02
1300,86,9376.27
1300,87,9521.75
1300,88,9392.97
1300,89,9326.64
1300,90,9375.55
1300,91,9378.15
1300,92,9348.6
1300,93,9350.17
1300,94,9543.83
1300,95,9336.68
1300,96,9336.73
1300,97,9417.77
1300,98,9458.46
1300,99,9377.77
1310,0,9559.31
1310,1,9449.69
1310,2,9449.49
1310,3,9455.52
1310,4,9401.06
1310,5,9281.42
1310,6,9387.92
1310,7,9343.58
1310,8,9398.21
1310,9,9366.6
1310,10,9350.39
1310,11,9402.98
1310,12,9307.27
1310,13,9443.5
1310,14,9441.39
1310,15,9502.74
1310,16,9482.8
1310,17,9365.51
1310,18,9410.7
1310,19,9377.15
1310,20,9433.35
1310,21,9391.73
1310,22,9395.84
1310,23,9466.44
1310,24,9442.29
1310,25,9400.11
1310,26,9459.67
1310,27,9459.52
1310,28,9575.61
1310,29,9492.55
1310,30,9489.37
1310,31,9449.49
1310,32,9423.61
1310,33,9482.9
1310,34,9431.78
1310,35,9387.65
1310,36,9406.69
1310,37,9444.04
1310,38,9406.79
1310,39,9355.87
1310,40,9427.4
1310,41,9380.03
